steig_id;stop_id;name;rbl;direction
1085639619;1085615308;"Kleingartenverein Hackenberg";1254;"R"
1085639620;1085621842;"Strehlgasse";1255;"R"
1085639621;1085617955;"Kammerergasse";1256;"R"
1085639622;1085616494;"Glanzing";1257;"R"
1085639623;1085616721;"Gustav-Pick-Gasse";1258;"R"
1085639624;1085615451;"Kratzlgasse";1259;"R"
1085639625;1085619444;"Rodlergasse";1260;"R"
1085639626;1085616124;"Flotowgasse";1263;"R"
1085639627;1085615488;"Krottenbachstraße";1261;"R"
1085639628;1085618524;"Obersteinergasse";1262;"R"
1085639629;1085616331;"Gatterburggasse";2985;"R"
1085639630;1085616906;"Hardtgasse";1227;"R"
1085639631;1085616498;"Glatzgasse";1264;"R"
1085639632;1085618377;"Nußdorfer Straße";640;"R"
1111364589;1085620356;"Maroltingergasse";5694;"H"
1111364590;1085614964;"Liebhartstal";8901;"H"
1111364591;1085616316;"Funkengerngasse";8900;"H"
1111364592;1085616326;"Ottakringer Friedhof";8899;"H"
1111364593;1085618583;"Ottakring";8898;"H"
1111364605;1085620356;"Maroltingergasse";5694;"R"
1111364606;1085621643;"Lorenz-Mandl-Gasse";5695;"R"
1111364607;1085614964;"Liebhartstal";8901;"R"
1111364608;1085616316;"Funkengerngasse";8902;"R"
1111364609;1085616326;"Ottakringer Friedhof";8903;"R"
1111364611;1085618583;"Ottakring";1528;"R"
1111364612;1085623844;"Stillfriedplatz";8904;"R"
1111364636;1085621683;"Stammhausstraße";3259;"H"
1111364637;1085623198;"Pfarrwiesenstraße";3258;"H"
1111364638;1085622785;"Albert-Schweitzer-Gasse";3279;"H"
1111364639;1085616042;"Auhof";3244;"H"
1111364640;1085622291;"Uranusweg";3254;"H"
1111364641;1085622895;"Wolfersberggasse";5792;"H"
1111364642;1085617710;"Josef-Ressel-Straße";3261;"H"
1111364643;1085620568;"Merkurweg";3255;"H"
1111364644;1085620643;"Mondweg";3257;"H"
1111364645;1085615007;"Anzengruberstraße";3277;"H"
1111364646;1085613588;"Bergmillergasse";5698;"H"
1111364647;1085615169;"Badgasse";3280;"H"
1111364648;1085616525;"Glossystraße";3260;"H"
1111364649;1085616808;"Hadersdorf";3278;"H"
1111364650;1085613898;"Hütteldorf, Bujattigasse";3310;"H"
1111364651;1085614073;"Cottagestraße";3266;"H"
1111364652;1085621475;"Siriusweg";3256;"H"
1111364653;1085617412;"Hütteldorf";3282;"H"
1111364654;1085617469;"Hüttergasse";3262;"H"
1111364655;1085623788;"Ferdinand-Frey-Weg";3263;"H"
1111364663;1085623542;"Wolfgang-Pauli-Gasse";3245;"R"
1111364664;1085616039;"Zimbagasse";3246;"R"
1111364665;1085616042;"Auhof";3244;"R"
1111364666;1085622243;"Auhof Umspannwerk";3253;"R"
1111364667;1085617412;"Hütteldorf";3349;"R"
1111364695;1085623461;"Atzgersdorf, Ziedlergasse";3846;"H"
1111364696;1085621820;"Stranzenberggasse";8123;"H"
1111364697;1085623149;"Tiroler Gasse";8121;"H"
1111364698;1085620647;"Montecuccoliplatz";8122;"H"
1111364699;1085620717;"Pensionistenwohnhaus Hetzendorf";8125;"H"
1111364700;1085618706;"Pensionistenwohnhaus Atzgersdorf";8133;"H"
1111364701;1085618706;"Pensionistenwohnhaus Atzgersdorf";8133;"H"
1111364702;1085618710;"Pensionistenwohnhaus Rosenberg";3780;"H"
1111364703;1085614830;"Am Platz";8120;"H"
1111364704;1085614834;"Am Rosenhügel";2413;"H"
1111364705;1085614859;"Am Spiegeln";1648;"H"
1111364706;1085615086;"Atzgersdorf Kirchenplatz";1652;"H"
1111364707;1085615090;"Atzgersdorf";8134;"H"
1111364708;1085615090;"Atzgersdorf";1651;"H"
